id,GMSTP,SRSTR,PLHTN,HER
EMF2100288554,28.45,4.71,291.73,0.36
EMF2100288797,28.66,4.22,308.98,0.4
EMF2100774916,26.31,6.09,286.05,0.36
EMF2100288848,25.65,4.82,288.82,0.39
EMF2000514340,26.65,6.02,292.33,0.36
EMF2200587930,26.29,5.31,299.84,0.39
EMF2201896543,33.95,4.84,301.34,0.39
EMF2100288702,27.18,5.4,302.87,0.4
EMF2100288710,28.2,4.97,287.5,0.37
EMF2100288912,26.6,5.4,300.9,0.37
EMF2100288429,27.54,4.74,302.17,0.34
EMF2100766239,27.3,5.07,291.08,0.36
EMF2200588110,29.41,5.4,315.23,0.35
EMF2100289097,28.43,4.93,309.8,0.35
EMF2200591017,29.89,5.09,307.73,0.35
EMF2100775359,29,6.24,292.95,0.41
EMF2001644391,30.55,5.38,275.83,0.43
EMF2100775708,26.48,6.4,296.22,0.37
EMF2100775747,28.77,6.3,287.05,0.38
EMF2100775568,27.22,5.79,281.81,0.39
EMF2200357109,30.16,4.91,281.06,0.36
EMF2200591229,30.84,4.88,287.35,0.37
EMF2200587446,31.55,5.41,295.7,0.36
EMF2100772593,29.13,5.86,284.49,0.4
EMF2201896238,30.21,5.86,298.05,0.4
EMF2100289071,28.33,5.3,292.07,0.39
EMF2100770631,24.77,6.02,315.53,0.38
EMF2200588947,28.58,5.02,288.08,0.37
EMF2100247400,29.61,5.67,291.95,0.38
EMF2200591104,29.13,4.87,291.53,0.37
EMF2100288579,28.39,5.28,307.81,0.38
EMF2100288572,27.14,5.25,278.43,0.41
EMF2100289241,26.85,5.9,299.48,0.38
EMF2100288924,26.56,5.73,298.08,0.36
EMF2100288838,27.56,5.7,289.77,0.38
EMF2201896644,30.56,5.25,305.03,0.35
EMF2201896286,26.43,5.11,283.28,0.36
EMF2201896048,29.25,5.8,317.5,0.36
EMF2200591317,28.26,5.09,287.6,0.41
EMF2100289557,25.99,6.62,294.97,0.39
EMF2000987930,29.4,4.89,301.28,0.41
EMF2100289529,28.24,5.78,323.56,0.36
EMF2200589824,25.01,7.06,289.57,0.37
EMF2200589138,27.7,4.65,287.6,0.39
EMF2200588809,27.52,3.9,302.41,0.38
EMF2100288999,26.7,6.01,312.04,0.36
EMF2100289032,28.82,6.19,305.19,0.34
EMF2100288485,26.93,4.8,310.43,0.36
EMF2200587741,26.55,5.44,301.01,0.36
EMF2200588176,27.4,5.44,289.87,0.36
EMF2200591140,24.77,5.36,292.35,0.38
EMF2200588057,24.41,5.36,309.39,0.36
EMF2200587453,27.02,5.44,305.92,0.39
EMF2200591089,26.13,5.44,282.35,0.39
EMF2200587318,28.19,5.44,284.32,0.35
EMF2200589347,26.25,5.44,304.62,0.37
EMF2200588113,27.47,5.44,299.04,0.39
EMF2200590573,30.95,5.44,279.73,0.41
EMF2200590441,25.24,5.36,293.66,0.36
EMF2200587587,27.38,5.36,296.94,0.35
EMF2200588593,27.72,5.36,306.11,0.39
EMF2200591177,27.38,5.44,294.14,0.36
EMF2200590382,24.01,5.44,305.59,0.35
EMF2200588984,27.52,5.44,297.08,0.39
EMF2200587522,28.52,5.44,292.18,0.35
EMF2200589973,29.05,5.36,296.94,0.37
EMF2200588241,28.08,5.36,301.52,0.37
EMF2200590047,28.26,5.36,295.63,0.36
EMF2200588802,27.76,5.36,303.49,0.35
EMF2200590855,28.55,5.36,294.97,0.38
EMF2200589016,28.34,5.36,291.7,0.37
EMF2200588860,26.92,5.36,284.49,0.38
EMF2200590146,32.14,5.44,311.83,0.41
EMF2100289090,26.67,5.35,290.88,0.38
EMF2200590491,27.26,4.88,291.28,0.36
EMF2100288772,29.93,5.53,294.15,0.36
EMF2100283396,29.34,4.51,306.23,0.4
EMF2100772915,28.08,5.86,291.04,0.38
EMF2200588743,30.68,5.58,300.7,0.38
EMF2200589034,27.77,5.29,305.11,0.4
EMF2100775102,30.68,5.86,287.43,0.36
